date,close,open,high,low,volumn
20190814,76900,77200,77900,76200,2531593
20190813,74500,74000,75100,73700,1304708
20190812,74500,73700,75000,73500,1254926
20190809,73300,73200,74100,72300,2100380
20190808,72300,73600,74500,72000,2943206
20190807,73300,72000,74300,72000,2692841
20190806,72000,73100,73900,71900,5008247
20190805,75400,75500,76000,74900,2889902
20190802,76100,75400,76800,74900,4845952
20190801,77700,75300,78700,75300,3397831
20190731,76900,78000,79100,75300,3712241
20190730,78900,78200,80000,77700,2371300
20190729,77000,79000,79400,76500,2616782
20190726,79800,78100,80300,78000,3095260
20190725,79200,79700,80400,77700,3963383
20190724,77600,78800,80200,77100,3562342
20190723,78800,79700,80700,78200,4814941
20190722,78400,77800,79200,77000,3213786
20190719,76800,75900,77000,75600,2635348
20190718,74700,74300,75200,73900,1902110
20190717,74600,74600,75200,74000,2805672
20190716,76100,74800,76500,74800,2450278
20190715,76200,74500,76500,74400,2122090
20190712,74700,75600,75800,74400,2638271
20190711,75500,74000,75500,74000,5111929
20190710,72900,71500,73400,71000,4346179
20190709,69800,68400,70500,67900,2912514
20190708,67400,66400,68000,66200,2202260
20190705,68400,70300,71000,68400,2043271
20190704,70200,69600,70700,69300,1503707
20190703,69100,71100,71700,69000,2790684
20190702,71400,69700,71700,69100,2495399
20190701,70000,71000,71000,69700,3538183
20190628,69500,70900,70900,68400,3117569
20190627,70200,70100,71600,69700,5361201
20190626,68900,68300,69600,67900,5024201
20190625,66700,66700,67400,66300,1873766
20190624,66900,65900,67400,65600,2164462
20190621,65900,67100,67300,65900,2403002
20190620,67300,67200,67400,66200,2773637
20190619,67200,65800,67300,65200,6230370
20190618,63400,63800,64200,63300,1549497
20190617,63700,62800,63800,62400,2435039
20190614,63100,63200,64000,62600,3686472
20190613,63500,64900,65100,63300,5947811
20190612,65700,66800,67100,65700,2437640
20190611,67200,66900,67800,66700,2429182
20190610,66800,66100,67000,65800,3091757
20190607,65400,65200,66000,64600,2355869
20190605,65100,66900,67600,64900,4832796
20190604,65100,66500,66700,65100,2892681
20190603,66600,65200,67200,64200,4020572
